participant,Filename,phonation,H1c_mean,H2c_mean,H4c_mean,A1c_mean,A2c_mean,A3c_mean,H2Kc_mean,H1H2c_mean,H2H4c_mean,H1A1c_mean,H1A2c_mean,H1A3c_mean,H42Kc_mean,H2KH5Kc_mean,CPP_mean,Energy_mean,HNR05_mean,HNR15_mean,HNR25_mean,HNR35_mean,sF0_mean,sF1_mean,sF2_mean,sF3_mean,sF4_mean,sB1_mean,sB2_mean,sB3_mean,sB4_mean,soe_mean,H1c_sd,H2c_sd,H4c_sd,A1c_sd,A2c_sd,A3c_sd,H2Kc_sd,H1H2c_sd,H2H4c_sd,H1A1c_sd,H1A2c_sd,H1A3c_sd,H42Kc_sd,H2KH5Kc_sd,CPP_sd,Energy_sd,HNR05_sd,HNR15_sd,HNR25_sd,HNR35_sd,sF0_sd,sF1_sd,sF2_sd,sF3_sd,sF4_sd,sB1_sd,sB2_sd,sB3_sd,sB4_sd,soe_sd,session,repetition,comb_no
P0001,AC_P0001_S02_R01_MOD_HDM.mat,MOD,17.512922852983987,10.792858806404658,3.463904657933042,-6.221369723435226,-9.525750363901018,-1.8307605531295488,1.595943231441048,6.72008442503639,7.328957787481805,23.734308588064046,27.038675400291122,19.343700873362444,1.8679614264919941,25.36630058224163,18.82985495626822,1.550960116026106,4.212927842565597,15.673667638483964,20.6283833819242,25.161213556851312,93.95842567077592,362.9406700507614,1410.4396802030458,2339.323049311095,3716.7929717186366,141.9606026105874,246.54519651921683,278.37005076142134,356.4950137781001,0.02248499594484996,7.39403676106978,7.6490954575508,6.859628833105723,9.708726803015997,6.705321436726856,7.087098771466362,7.9988085828766025,1.9504229657267425,3.2754779100716847,5.663400653644324,4.967234480472758,7.82290041640725,5.427402398036101,8.219848813468843,1.275770386994784,1.027305981529032,4.245227789824188,4.253441976910373,3.8373071315872855,3.6332480783928083,20.374668929382707,154.03546076914245,342.25812422909917,311.2279441368461,548.6105536266888,143.29308926209922,206.91461620444954,170.62100266747868,191.38846768651177,0.007960330441292086,S02,R01,S02R01
P0001,AC_P0001_S02_R02_BRT_HDM.mat,BRT,17.4900599078341,7.214934167215273,0.131164581961817,-12.258769585253456,-12.15051086240948,-4.064399605003292,-1.8727728768926926,10.275138248847925,7.083786043449638,29.74884595128374,29.640560895325873,21.554464121132323,2.003944042132982,22.58208689927584,17.065767610269916,0.9242192231731402,5.893533245556287,17.091373271889402,21.050005924950625,24.610069124423962,93.64264516129032,389.0578400263331,1575.7646813693218,2504.6911231073072,3571.314560236998,249.20755233706385,304.1154048716261,313.76600526662276,385.2838604344964,0.01929352068696331,7.285300090917481,7.090446017207657,7.5272325459161555,11.094062954578664,8.276455574133168,8.94740696710909,9.471453395650702,3.41967581742622,4.324078755371014,8.47531526372135,7.0223977347300135,8.782013292757703,6.547358016297325,8.577679931327657,0.7964383872723396,0.5026333081117635,4.224087628260028,4.57441625953706,4.475537409450449,4.422039301888359,22.46693612642634,219.7964873643996,362.0061817019357,327.47559324677025,506.9263724823973,223.3022396429874,255.30236909563635,188.54352741542982,212.9904256683223,0.007903205254718146,S02,R02,S02R02
P0001,AC_P0001_S02_R02_CRK_HDM.mat,CRK,15.833551532033427,14.104257195914577,7.31472051996286,-5.935677808727948,-12.008603528319405,-3.041016713091922,-0.40677715877437326,1.7293268337975858,6.789494893221913,21.7692330547818,27.8421643454039,18.874571959145776,7.7214986072423395,26.735863509749304,19.570978644382546,1.1995877437325906,0.04819127205199628,12.99214391829155,18.00311234911792,22.85961095636026,57.17295357474466,399.0904744661096,1396.9441931290621,2288.362991643454,3390.0010557103064,66.82800185701021,241.6101494893222,208.16233704735376,387.84761281337046,0.008005217391304349,4.53308439132512,5.267376683880263,5.283636821384883,6.852931112177653,5.599432731633106,5.890819216741427,6.343703921583938,2.22577968565299,1.6760864487440639,4.584656141458369,5.105760125306146,6.306286437342327,5.407856900971291,7.7079450423548534,1.2607999328732156,0.9259039403947322,3.3798949779385175,4.460566264739347,3.824184858766665,3.6185616843657846,14.225039350586126,139.6677886960949,401.7680770594153,281.2143792109813,483.91555467341016,64.47675001910393,220.2144960905216,198.29536206799958,245.26817527479554,0.0025780446456217486,S02,R02,S02R02
P0001,AC_P0001_S02_R02_MOD_HDM.mat,MOD,15.591237643872715,8.836594448205823,1.6740331753554503,-8.708444820582262,-13.263045362220717,-4.746141503046716,-2.19757413676371,6.754645903859174,7.162568720379147,24.29968855788761,28.854292484766418,20.337384563303996,3.8716012186865267,24.47706431956669,18.28991943127962,1.0861841570751523,6.115497967479675,18.877172647257954,23.684928232904536,28.324035883547733,95.53038524035206,360.9125910629655,1484.4133202437374,2412.3515138794855,3743.996545023697,157.9870345294516,325.36143534190927,264.7798185511171,374.1820521327014,0.01787704280155642,7.70207995741747,8.11604490515482,7.580395151040453,10.819686781290184,7.569779511291388,7.949221122275473,9.096644431698763,1.83738991555052,3.6359040622353787,6.811306338116381,6.330176011118401,8.916995057837363,6.899792542839688,8.821714620456513,1.233863809069235,0.8832380850278608,4.459237420478893,4.268904278041132,3.9314682332559596,3.790437979882378,21.381266613712068,172.45338066366193,433.96572727763817,397.64640845995274,507.127147380842,154.0466428629272,245.0884114651767,193.1991641160572,209.72194224291096,0.007409714762938199,S02,R02,S02R02
P0001,AC_P0001_S02_R03_BRT_HDM.mat,BRT,17.946107466852755,6.611027913468249,-0.2341939986043266,-13.300649685973482,-12.837434752267969,-4.45726517794836,-1.9707264480111655,11.335062107466852,6.84523377529658,31.246756454989534,30.783546406140964,22.403364968597348,1.736536636427076,24.025161200279136,17.220764131193302,0.9605059316120028,5.3888429867411025,16.61777669225401,20.501899511514306,24.270791346824844,85.24927913468248,395.9992281926029,1573.4779448709003,2464.129503140265,3599.5525715282624,240.19256454989534,292.96659246336355,267.269793440335,382.1074473133287,0.01999655469422911,7.686793655856553,6.798482418301729,6.742254479721268,10.468515105766075,7.949261620701013,8.429468843367744,9.25094453696243,3.0192874686037006,3.701088706907784,7.398431390916005,7.298730253425274,8.620187706486261,6.6112511539088015,8.42602676558196,1.1246323434857306,0.6121915060530541,4.205538876290936,4.512559277728663,4.279759615724537,4.220679118802038,16.980988129193694,222.79961630849493,383.37802620355683,341.85319882419407,495.90215853747435,190.3047601682295,230.77734136870262,184.01536594255185,229.71776253504893,0.008174497043411217,S02,R03,S02R03
P0001,AC_P0001_S02_R03_CRK_HDM.mat,CRK,14.458726958525345,13.92385599078341,8.227089861751152,-5.965929723502304,-14.459182027649769,-6.86656797235023,-3.8699642857142855,0.5354728950403691,5.696774193548387,20.424668202764977,28.917896313364054,21.325293778801843,12.097043778801844,25.630752304147464,19.405556581986144,0.9876609195402298,-0.411189376443418,13.860323325635104,19.396047344110855,25.092772517321016,55.66581264367816,396.36734712643675,1432.836651724138,2329.707804597701,3651.823565517241,60.56650229885057,285.13545862068963,255.04325517241378,547.9340126436782,0.00783411214953271,4.1342077819318535,5.05499134479593,5.186946358164958,7.4072470191162525,5.751168091898229,6.222337288524946,6.28950998433214,2.623741179770123,1.9507737073716354,5.95784625654757,5.573961060078487,6.2872856611661465,5.662076886971343,6.912480862835023,1.2561232146253762,0.7635195554728688,3.570708412241354,5.1469495157136524,4.5487277747579276,4.111550448619646,23.007958412747964,142.8811070964782,432.8779098640873,347.35401296646745,518.1987723162167,51.818695529568004,243.81858771159716,230.34504854566927,258.70746330564646,0.0026280873280365834,S02,R03,S02R03
P0001,AC_P0001_S02_R03_MOD_HDM.mat,MOD,15.388399307958478,8.12140553633218,1.468352249134948,-8.82594740484429,-13.541361937716262,-5.7202214532871976,-2.594228373702422,7.266979930795848,6.653053287197232,24.214323875432527,28.9297446366782,21.108606920415223,4.06256955017301,23.461851903114187,18.294826989619377,1.0087743944636678,5.726096193771626,18.474198615916954,23.41576678200692,28.023776470588235,96.94259031141868,363.5605024221453,1493.25289550173,2405.1849453287196,3724.1981937716264,159.19253079584774,347.772337716263,283.3720505190311,391.50979169550175,0.021961598746081504,7.778194186642821,8.01835534909756,7.308449058526034,10.101573686677257,7.1178746077694965,7.726577317975112,8.535631272615257,2.1947168042152914,3.8841692237585193,6.157200858591313,6.253809166132787,8.020279159019013,5.864812849813546,8.075633350217059,1.2608655045095776,0.8165891515435989,4.482880866741173,4.611186802305872,4.206997530036399,3.9608878880940144,21.556133272883137,156.1596992984384,404.41156267957837,369.0135217523468,532.6529176230225,149.03274143015784,290.74508278372474,194.2320024053026,200.777559083223,0.00922422719388238,S02,R03,S02R03
P0001,AC_P0001_S02_R04_BRT_HDM.mat,BRT,16.49530305039788,4.91785875331565,-2.847167771883289,-14.959399204244033,-15.151035809018568,-6.431338859416446,-4.980336429993364,11.577443633952255,7.76501525198939,31.454679708222812,31.646324933687,22.92663328912467,2.1298786472148543,21.439009946949604,16.928791114058356,0.6653501326259947,6.52764124668435,17.69693368700265,21.732964854111405,25.621383952254643,84.38256962864722,402.1876173740053,1576.685051061008,2445.186169098143,3582.040620026525,216.5371551724138,306.5476604774536,266.87937068965516,390.8109529177719,0.019224322103533278,7.282618236042238,6.126254465954601,5.791050235936353,9.428882718204509,6.80138654157376,7.3591395916973985,7.862966383848984,2.7986293808848672,4.068968348097135,6.591627647201341,6.301878563875255,8.48217105711792,6.141897206116847,7.6907028201491805,0.6986784962641662,0.33685456421424137,3.9606051591750697,4.201621360141086,4.0444523273852395,3.964932665874434,12.69972778148211,207.33290546477977,371.6783082170543,295.0527596218284,516.1404450277972,157.61136363394579,234.53105010989995,184.6876413620048,219.83247239639897,0.006901549219777115,S02,R04,S02R04
P0001,AC_P0001_S02_R04_CRK_HDM.mat,CRK,15.175692767086927,9.781941605839416,2.816045122760451,-9.722820172528202,-16.999111479761115,-8.272089581950896,-6.21757796947578,5.393755806237558,6.965893828798938,24.898523556735235,32.17483477106835,23.447803583278034,9.033625746516257,21.554513603185136,18.6608500331785,0.6199814200398142,3.8735454545454546,17.27922096881221,22.5528898473789,27.88885202388852,65.025799601858,402.6716801592568,1440.756406104844,2319.4088526874584,3563.74997478434,75.82274784339748,329.91600597213005,206.42241672196417,467.49584406104844,0.016406867845993756,5.427879193663343,6.154807380981655,5.977572714715863,7.907398544142119,5.15111474888909,6.077989651503953,6.519448108429504,1.8743488449027421,2.4528598457684327,4.139372360048717,4.447310068851877,6.337809660972177,5.813817951734504,7.682177355452786,1.2538662016334137,0.41085947349266844,3.7437409412001657,4.555871161856736,4.165242879532292,3.86895246485398,9.661937386092678,137.2304713851369,416.02314059308435,321.2375541081408,595.6794756871805,74.76726212955367,275.941785374109,192.659466081425,274.4763811107136,0.004213806013201382,S02,R04,S02R04
P0001,AC_P0001_S02_R04_MOD_HDM.mat,MOD,13.95710323033708,7.859857443820225,0.9201720505617977,-9.203101825842696,-14.676467696629214,-7.210695224719101,-5.261865168539326,6.097240168539326,6.939693117977528,23.160238061797752,28.633573735955057,21.167802668539327,6.182060393258427,22.68023595505618,17.843929725931133,0.7943042568039079,7.801669009135629,21.24670133520731,26.027094869992972,30.96410119465917,96.71291416608514,362.27488555478016,1604.1930621074669,2515.19941311933,3916.756876482903,163.59767271458477,352.5134389392882,285.915658060014,444.95039078855547,0.02440407204385278,7.9415526050777085,8.245871962484461,7.880163788640624,11.675751397485243,7.943917233652349,8.976987757990818,10.399297386467714,1.8085278786200285,3.7827343797625224,7.499348012246277,6.7067800569600395,9.445314460046136,7.907093966892595,9.81236503472249,1.2101721010027557,0.5976745305883377,4.253380030058539,4.351752708642604,3.875769733104044,3.753038519518944,19.26288881923789,177.4439065756097,487.63058502722964,379.8288451916078,516.5658744589826,148.0092886131637,294.5660846317369,254.7338871505817,247.2158165719782,0.008330529776201055,S02,R04,S02R04
