participant,Filename,phonation,interval,H1c_mean,H2c_mean,H4c_mean,A1c_mean,A2c_mean,A3c_mean,H2Kc_mean,H1H2c_mean,H2H4c_mean,H1A1c_mean,H1A2c_mean,H1A3c_mean,H42Kc_mean,H2KH5Kc_mean,CPP_mean,Energy_mean,HNR05_mean,HNR15_mean,HNR25_mean,HNR35_mean,sF0_mean,sF1_mean,sF2_mean,sF3_mean,sF4_mean,sB1_mean,sB2_mean,sB3_mean,sB4_mean,H1c_sd,H2c_sd,H4c_sd,A1c_sd,A2c_sd,A3c_sd,H2Kc_sd,H1H2c_sd,H2H4c_sd,H1A1c_sd,H1A2c_sd,H1A3c_sd,H42Kc_sd,H2KH5Kc_sd,CPP_sd,Energy_sd,HNR05_sd,HNR15_sd,HNR25_sd,HNR35_sd,sF0_sd,sF1_sd,sF2_sd,sF3_sd,sF4_sd,sB1_sd,sB2_sd,sB3_sd,sB4_sd,session,repetition,comb_no,rs
P0001,AC_P0001_S01_R01_CRK_HDM.mat,CRK,e,13.296905109489051,11.501109489051094,5.332861313868613,-9.51263503649635,-14.203102189781022,-4.552,-0.8221459854014599,1.7958102189781022,6.168255474452555,22.809518248175184,27.49995620437956,17.848905109489053,6.155087591240876,29.805211678832116,19.07795620437956,0.4795036496350365,1.9916715328467154,13.391985401459854,19.690598540145984,26.01721897810219,56.58567153284672,417.9323722627737,1243.221605839416,2215.8945401459855,3613.6872554744527,95.17394160583942,209.37032846715329,144.99744525547445,570.1158832116788,3.6605889410505172,5.274100624024514,4.948180530407827,4.2649274955493475,3.824752814551764,3.9463978791536256,4.7911020446303345,2.599692800100582,2.1870981749569354,3.273930595724417,2.908820144048233,3.2801100028254337,3.8962132228056356,5.660715506934688,0.9524031513879627,0.20130051883599567,3.5564220435165077,5.311948614964249,5.0856522348486815,4.31299927666578,7.189969388699347,150.71034152038567,338.1552721215411,108.60844400745644,451.2325200372607,76.58165218218035,168.98545848455987,106.29460243019368,305.74017810002226,S01,R01,S01R01e,S01R01
P0001,AC_P0001_S01_R01_CRK_HDM.mat,CRK,f,12.467852112676056,9.931823943661971,0.7115352112676057,-10.15774647887324,-15.053330985915494,-7.267859154929577,-4.5402464788732395,2.536042253521127,9.220218309859154,22.625598591549295,27.52119014084507,19.73568309859155,5.251809859154929,25.754211267605633,18.612978873239438,0.30701408450704226,2.5308169014084507,15.781218309859154,20.57550704225352,25.564957746478875,60.22611971830986,352.2414366197183,1523.0403591549295,2341.875852112676,3672.0594154929577,95.65811267605633,282.2625633802817,277.6256338028169,428.28574647887325,2.6133313620284477,3.079538627826204,3.3905922381940488,6.699986441646724,4.812414714685889,5.3094512593164875,6.073751262589719,2.5648131030391137,2.2331364138321104,5.9963998904541995,4.271668449981667,5.9424471203616,5.325076746269576,7.271292922414836,0.8046939285836763,0.17349731683560968,2.1740162970534884,3.2223671161795675,2.6386007057429546,2.3846187255590956,8.395676985770455,136.46498034307177,366.3916944678745,392.22860252014647,460.6147304969408,161.08578119752093,249.76259359243684,256.49224762353214,247.52535916984792,S01,R01,S01R01f,S01R01
P0001,AC_P0001_S01_R01_MOD_HDM.mat,MOD,a,12.660583333333333,6.919958333333334,0.576594696969697,-9.760799242424243,-13.65428409090909,-3.6011325757575756,-2.5376742424242424,5.740628787878788,6.3433636363636365,22.42139393939394,26.314882575757576,16.26175,3.114310606060606,24.117329545454545,18.167334600760455,0.7880073800738008,8.988235741444868,21.414847908745248,25.761661596958174,30.433722433460076,99.52054981549816,374.0817712177122,1507.8196863468634,2405.921667896679,3807.9820811808117,129.19658671586717,325.1280221402214,209.94376014760147,415.50353874538746,8.177587203112667,9.032311842844786,7.440001427294666,10.259207860889026,6.081100533805986,9.020581334566833,9.791697028971369,1.9031202052603005,3.5830036675552654,5.193679263575186,5.751780953935282,11.199628963079375,9.150969744063698,9.566201924672635,1.2554820195269503,0.4902816801301663,4.361210725247679,3.4434480422286105,3.6599149371096535,3.483137235713722,20.69694983155529,162.8782078847034,427.1181379283217,377.86485895943014,559.981206250102,89.06478816643684,311.14939012458825,239.93767473187398,211.13399577257533,S01,R01,S01R01a,S01R01
P0001,AC_P0001_S01_R01_MOD_HDM.mat,MOD,b,13.142,6.754849056603773,0.11075000000000002,-9.102858490566037,-16.28210849056604,-8.290165094339622,-5.22166037735849,6.387160377358491,6.644127358490566,22.24485849056604,29.424108490566038,21.432146226415096,5.332377358490566,24.394811320754716,17.749278301886793,0.6713207547169812,7.3073066037735845,21.989198113207546,27.372056603773586,32.21093867924528,98.5560283018868,351.7833537735849,1522.1293537735849,2452.3516981132075,3785.374806603774,127.64159905660378,325.7488490566038,256.75908018867926,396.68817924528304,7.103074930563123,7.89033205866936,7.449381306970068,11.049583142349334,7.895475916340952,8.370768368934764,9.828051285183884,2.0820778476634016,3.783718931853544,5.972549928871751,4.986472357399808,5.8996121980619405,6.2019952560046265,7.401929708190272,1.114974937724812,0.3669894311834819,4.946244260995898,5.2628814642300945,4.309106360617312,4.0024771975116975,12.297353191085643,129.70756743639754,396.8818202561577,312.8348068980219,455.1152388589355,101.58203712441286,245.58921085716756,245.39407779413565,287.28034224097365,S01,R01,S01R01b,S01R01
P0001,AC_P0001_S01_R01_MOD_HDM.mat,MOD,c,11.862219607843137,6.2214431372549015,-1.8119019607843136,-12.574717647058824,-16.648619607843138,-5.663239215686274,-2.7465176470588237,5.640760784313725,8.033298039215687,24.43695294117647,28.510827450980393,17.525443137254904,0.9346392156862745,25.64996862745098,18.206141176470588,0.7303803921568628,8.585839215686274,19.37574901960784,24.71221176470588,30.016654901960784,92.87547058823529,407.7387882352941,1332.7689960784314,2324.7348156862745,3996.047156862745,147.1156156862745,322.2988235294118,200.45053725490197,437.3736,8.349674673209305,9.290477760132559,8.343391525738667,10.441941107533182,6.5792778491373545,8.409817333117815,9.819535541093458,1.7891107988116832,3.0524151386303022,5.734226566906072,6.5677848122626825,8.12496872021247,6.858902213764505,9.261234500402892,1.4851399134990286,0.4210530766005709,4.488498387351746,4.942752768335357,4.569914203679858,4.532422793220141,13.004347351160817,148.2842851752116,372.5184347566537,196.67973223382285,492.0180315595308,131.1929617179373,246.3751304546534,145.87193591145856,230.74920021489945,S01,R01,S01R01c,S01R01
P0001,AC_P0001_S01_R01_MOD_HDM.mat,MOD,d,15.340248,8.837216,0.482368,-8.079696,-14.75972,-5.163172,-0.774412,6.503036,8.354868,23.41998,30.099976,20.503424,1.256744,27.509172,18.081048,1.017592,5.897196,19.458072,24.996244,30.134888,94.29888,357.527448,1426.240492,2415.82236,3769.343292,124.270764,369.621084,238.097596,474.569668,5.622655439135941,6.291787949362484,5.4773459011696755,7.641148096228602,4.399195211357473,6.119949783767785,6.922559249040916,1.7304935139756077,3.403640240407391,5.083735535171579,4.04324993434121,6.15625160397704,4.973349979090762,6.773255867794932,1.1115097468603061,0.7923896661796348,3.8881297986188206,3.6735592988961026,2.8831958604894976,2.821725232656511,13.373317754118103,120.73549845767229,422.3436934901212,300.3737432655053,466.0658461462703,121.63541480631667,315.3889023295644,191.34043200110705,239.53190500001773,S01,R01,S01R01d,S01R01
P0001,AC_P0001_S01_R01_MOD_HDM.mat,MOD,e,15.683304761904761,9.454119047619047,1.8918666666666666,-8.19772380952381,-14.095257142857143,-3.837061904761905,-0.13815238095238097,6.2291380952380955,7.5623,23.881061904761903,29.778538095238094,19.520376190476192,2.030009523809524,28.402614285714286,18.30990476190476,0.7851809523809524,6.102738095238095,18.922204761904762,24.939085714285714,30.254652380952383,97.32572857142857,332.56329047619045,1519.2825904761905,2524.9277666666667,3873.975919047619,147.0781523809524,355.2709619047619,169.2888904761905,514.6527571428571,7.143645593533173,7.914267519091725,6.61673632897737,9.72153217933184,7.172829542550125,8.234425521310271,8.71048159148599,1.605772221024681,3.252034004733435,4.25884453082949,3.04636090862904,4.469215186062839,5.855180222274594,6.027827421606837,1.1093601934147432,0.38010599833517555,4.599031988117544,5.030799767192575,4.9162044878931335,4.217125996794641,22.522231813773306,115.99891323957354,521.7448764627067,363.65334960224925,457.1428259103699,115.25067222752034,298.6918920308755,136.49637414320404,293.1542241036638,S01,R01,S01R01e,S01R01
P0001,AC_P0001_S01_R01_MOD_HDM.mat,MOD,f,14.432659420289855,7.060047101449276,0.5004290909090909,-8.978239130434783,-14.280746376811594,-5.236996376811594,-3.63063768115942,7.372630434782609,6.561489130434783,23.410934782608695,28.713460144927538,19.669695652173914,4.129253623188406,24.870416666666667,17.785445652173912,0.6075108695652174,5.987438405797102,19.82670652173913,24.02325724637681,28.430778985507246,90.52541666666667,336.4377536231884,1542.7092644927536,2419.4693260869567,3767.080322463768,112.87442391304347,321.699365942029,210.59729347826087,365.84373188405795,6.446635391916541,6.495113840247404,6.036928928536573,8.63621718119632,4.9224200649113,6.452640383312126,6.332691050491486,1.850271139152164,2.902279875588338,4.518446566857841,4.359326348525796,8.399061947716604,6.1258981739218905,6.809608928854828,1.1169861498039064,0.352254437831991,2.921068518042918,2.6690239545423617,2.6998059409961686,2.626165652545804,10.045147777560583,119.85316418850718,411.13879158426073,314.45945963541743,493.77076649557756,190.74900344123236,301.3234662331558,169.34101533967947,230.59286046929444,S01,R01,S01R01f,S01R01
P0001,AC_P0001_S01_R02_BRT_HDM.mat,BRT,a,13.560776978417266,4.88948201438849,1.115705035971223,-8.955208633093525,-9.310154676258993,-0.9615935251798561,-1.5369496402877698,8.671330935251799,3.7737805755395684,22.516010791366906,22.87096762589928,14.522424460431655,2.6526726618705037,19.77884892086331,16.569809352517986,0.9707410071942446,8.0103345323741,18.645888489208634,21.557643884892087,24.86289928057554,118.29938489208634,366.47645683453237,1703.285298561151,2494.3048741007196,3642.882262589928,198.5524820143885,359.34391366906476,214.97827697841726,431.7570827338129,9.328812586163972,9.03806637881723,9.522495369234184,13.63828817215652,9.386448004738746,9.792590105348323,11.139154791237921,4.726730769500501,3.9160046000345,10.323425575184883,7.563699802538388,10.173662867270197,7.2009915129598125,10.554638062336016,0.6826437799535909,0.5597883539987485,4.645800304459019,4.178829831002157,4.780220213703211,4.715868525915231,26.551152084559124,231.2271623758936,404.73097151918086,347.6027870631672,501.67448624476134,163.58441290781644,278.12484133153094,153.11436141353505,207.74511565831924,S01,R02,S01R02a,S01R02
P0001,AC_P0001_S01_R02_BRT_HDM.mat,BRT,b,14.739486363636363,4.955868181818182,1.9122818181818182,-8.73079090909091,-9.908731818181819,-1.5282272727272728,-0.9637454545454546,9.783631818181819,3.0435545454545454,23.470286363636365,24.648213636363636,16.267695454545454,2.876027272727273,22.183063636363638,16.61522727272727,1.1415,6.379395454545454,18.26544090909091,21.409504545454546,24.807745454545454,115.12168181818181,334.80433636363637,1616.4045545454546,2433.59845,3644.6262136363634,234.29343636363637,319.2326409090909,249.3158909090909,413.46808636363636,8.273738556050532,7.184514189725147,9.179692078710586,11.807398554026014,9.339624398981549,9.28514584208788,10.50837971681697,3.9506713302568683,4.912890170567772,7.435241063104805,6.844887106599809,7.20799764296464,5.820528256650544,9.855142145049369,0.7288037193601982,0.7755054059793499,4.456476160070426,4.915295394362776,4.602855004920998,4.645281811027241,27.826978229040343,181.34469052073143,360.8779217535374,213.54860690176,484.1181581869398,190.5829608400915,272.64432339212215,172.7971785912405,186.72578871918233,S01,R02,S01R02b,S01R02
